iter time likelihood converge
0001 000002 -9182279.17708 1.0000000000
0002 000004 -9062211.55550 0.0130760151
0003 000006 -9058419.57399 0.0004184389
0004 000009 -9056039.42289 0.0002627557
0005 000011 -9054471.12769 0.0001731767
0006 000013 -9053266.79956 0.0001330092
0007 000016 -9052385.01420 0.0000973997
0008 000018 -9051652.01198 0.0000809734
0009 000020 -9051059.57463 0.0000654507
0010 000023 -9050552.72753 0.0000559986
0011 000025 -9050134.94873 0.0000461606
0012 000027 -9049762.65803 0.0000411365
0013 000029 -9049451.35905 0.0000343986
0014 000032 -9049168.74808 0.0000312296
0015 000034 -9048927.69756 0.0000266379
